dist_rank,dist_to_lake,site_no,parcel_id
0,2159.581089787431,12640,2941168
1,2280.26719356527,6899,1643601
2,3396.253467110505,11618,2940893
3,3674.3416621648407,10145,2940874
4,4065.9283759977925,9084,2940863
5,4092.8687851027307,6481,24003
6,4136.812310532021,7759,2940867
7,4181.618900440578,9083,23986
8,4334.057915215866,5224,12218
9,4425.186653004361,6722,2940473
10,4431.875714866405,11616,23748
11,4685.562668400309,3883,23991
12,4718.809409295136,21744,1643901
13,4812.591895967197,13978,23729
14,4986.499574114403,5211,2940453
15,5026.390808085828,10655,12227
16,5038.923042650279,4111,2940490
17,5177.287544967346,6721,2940433
18,5189.64567628022,11615,23741
19,5228.426486016485,4110,2940462
20,5266.175162800654,7758,2940459
21,5551.86414861597,7522,23964
22,5554.824370543951,9235,12260
23,5566.233635394772,6480,23723
24,5757.092221564686,6802,12242
25,5833.029406296181,13025,2940424
26,5847.469440492441,5210,23724
27,5874.877833479317,9375,23737
28,5881.080867015009,11619,2940428
29,5921.751587480219,24837,1643130
30,5933.025407875847,10635,23721
31,5957.033939038777,13127,12243
32,6069.414085542998,23218,23766
33,6081.23744501247,12805,2940426
34,6118.660341066517,13802,12247
35,6134.256270936259,6798,23971
36,6142.424096007878,9284,2956382
37,6187.768887998702,10648,23966
38,6362.47193824173,5212,2940446
39,6365.811052338912,13112,23720
40,6405.5755563259945,7757,23702
41,6571.020823594473,9085,2940442
42,6716.789515604545,13120,2940173
43,6729.815184389232,6708,2940198
44,6768.778877203216,6412,23451
45,6773.926316317387,4220,2940176
46,6782.15601855562,13125,12250
47,6857.950573717598,4221,2940172
48,6874.908415497547,4234,12519
49,6910.729198895171,7965,2956418
50,7056.38985051904,5420,2956373
51,7170.21747730364,26210,12538
52,7248.766339518121,11923,23499
53,7250.690472231308,10334,23462
54,7255.71199046454,5541,12475
55,7256.515235397487,11914,2940158
56,7299.216215991714,20891,1640319
57,7339.606793201999,13142,12285
58,7348.80181956733,9292,2940161
59,7355.300649179668,10061,12554
60,7389.219507450338,23743,23686
61,7411.192101297518,10654,12267
62,7479.967378415216,11823,2940162
63,7522.568832613731,4233,12559
64,7641.858436821406,4914,12541
65,7688.411799685244,13129,12558
66,7688.962292112916,5524,23448
67,7704.58844762818,5526,2940151
68,7742.473882441208,8067,12556
69,7765.446742615673,12672,23771
70,7799.547951192804,3885,23480
71,7853.895705634526,9009,23690
72,7854.9051131094175,11558,23443
73,7872.0972084409195,10553,2940107
74,7948.107237158662,6801,12276
75,7965.818642367769,13128,12463
76,7978.674771328436,19208,12460
77,8055.899936321103,6713,2964394
78,8062.80338540087,19864,2940252
79,8129.134385540367,21585,2940066
80,8129.827323265189,6483,23498
81,8137.411505330678,6712,2940067
82,8156.849948072523,6323,23772
83,8194.926140839389,24276,23655
84,8201.180758207178,8063,12271
85,8250.98719390377,6484,2940150
86,8272.339306240321,10653,12275
87,8449.413781355192,8064,12450
88,8560.853089834862,9389,12455
89,8619.04600304594,11922,23433
90,8643.604141389307,7942,2940136
91,8679.5891667688,6803,12565
92,8714.264149151179,6675,2940133
93,8754.885866754774,3892,12573
94,8824.740903417125,6793,23436
95,8862.383215043268,21586,2940065
96,8862.689277183865,13986,23432
97,8881.596376640131,10288,2940064
98,8933.668987653213,12743,23660
99,8936.584588289434,9291,2940078
100,8939.466575759236,13110,23405
101,9136.67145492987,4232,12454
102,9196.303132527766,23425,23215
103,9220.605164979766,8065,12416
104,9234.868908368024,13867,1640322
105,9250.118830842486,13126,13111
106,9266.616740133113,13114,2940056
107,9282.683268123252,6789,23406
108,9327.268872353017,6788,23417
109,9329.807867508827,4107,2940124
110,9397.653694803234,10278,23644
111,9475.546828669556,9281,2940113
112,9504.989250548113,25163,12570
113,9570.700744030844,9337,23519
114,9573.87551623318,9015,2945305
115,9667.543135498787,8020,23514
116,9683.750493117703,6790,2945327
117,9702.93677661822,8021,23622
118,9759.089490708935,8043,2945309
119,9779.294178011725,13111,23413
120,9864.765829690417,3906,12703
121,9899.460349907538,10636,2945322
122,9939.77793106119,10552,23243
123,10165.947642049885,8044,2945303
124,10203.490993469852,6691,23209
125,10233.568710895357,11822,2945291
126,10256.960233755135,13121,12680
127,10303.893826601216,7760,23240
128,10344.042423668112,13019,2945297
129,10468.002872542691,11876,23513
130,10491.650475420072,9176,2945314
131,10499.212576876907,5302,2945318
132,10506.740233839064,9096,5107
133,10695.131470667986,9286,2945301
134,10815.118156385346,6475,23226
135,10887.494928927283,5418,2945283
136,10941.554175729912,12748,2945235
137,10944.532621979617,11707,23384
138,10961.016500016134,9374,23262
139,10961.624469252045,11917,2945265
140,11002.277174960514,4089,5109
141,11020.260983506094,13083,23536
142,11059.086529008662,4109,2945287
143,11098.195939347004,13049,2945236
144,11170.747325431783,12806,23230
145,11303.33832673826,5303,2945244
146,11314.860916328807,10333,5092
147,11321.212999058054,7755,23227
148,11395.154894631789,13116,2945266
149,11504.733719692305,13115,2945260
150,11510.958936395962,6482,23255
151,11706.391053952791,7775,5066
152,11777.645678640045,7960,2945276
153,11885.303393935013,10638,2945259
154,11900.155205120656,6667,2945225
155,11923.201659949807,6415,12666
156,11932.308494386227,5527,2945210
157,11962.294952256701,20922,2945197
158,11996.176324611908,12763,2945250
159,12090.820681972975,5528,2945231
160,12136.364064219495,20755,2945177
161,12136.948114122748,11916,2945223
162,12310.617635395776,5214,23251
163,12326.126669104602,4134,2945229
164,12442.80464622504,9376,2945224
165,12455.13114902602,13048,2945255
166,12552.989552865312,8051,12385
167,12554.528708481937,6796,2945140
168,12570.21591511215,13036,2945092
169,12596.192502876556,7973,2945268
170,12640.075713564978,10650,12669
171,12770.33140135109,8056,2945094
172,12875.515073048975,22725,5041
173,13013.924442507052,21696,2945113
174,13314.822027248283,13021,2945101
175,13332.862211633039,13113,2945138
176,13435.130766327302,10332,4886
177,13449.95875584938,5040,2945169
178,13631.07123390167,6703,2945053
179,13718.893041268913,6701,2945110
180,13725.955894573244,5422,2945108
181,13731.603414083456,5529,2945136
182,13885.009686570813,7964,2945078
183,14681.914230226637,13664,4864
184,15045.007570340782,22140,2943576
185,15115.298620156025,6474,4839
